variant,crop,fold,horizon_weeks,test_year,n_features,n_trees,RMSE,MAE,MAPE,R2,N,fit_sec
M6,potato,3,26,2024,85,198,866.0,691.1,34.16,-0.5853,4301,2.8
M6,potato,4,1,2025,85,190,165.6,124.5,10.89,0.6712,4114,2.8
M6,potato,4,4,2025,85,198,241.0,191.0,17.15,0.2402,3856,2.8
M6,potato,4,13,2025,85,148,636.2,581.0,49.44,-4.6212,3128,2.3
M6,potato,4,26,2025,85,5,278.4,216.2,19.27,-0.0851,2072,0.9
B1_Naive,tomato,1,1,2022,0,0,533.6,317.4,15.2,0.8312,28885,0.0
B1_Naive,tomato,1,4,2022,0,0,1103.6,732.4,37.26,0.2817,28737,0.0
B1_Naive,tomato,1,13,2022,0,0,1574.7,1126.9,67.05,-0.4165,28436,0.0
B1_Naive,tomato,1,26,2022,0,0,1675.1,1288.9,92.03,-0.8687,28285,0.0
B1_Naive,tomato,2,1,2023,0,0,950.9,486.8,18.18,0.8282,29320,0.0
B1_Naive,tomato,2,4,2023,0,0,2243.9,1337.5,53.41,0.0275,29111,0.0
B1_Naive,tomato,2,13,2023,0,0,3265.8,2092.1,92.87,-1.1137,28707,0.0
B1_Naive,tomato,2,26,2023,0,0,3291.0,2192.9,92.45,-1.2414,28390,0.0
B1_Naive,tomato,3,1,2024,0,0,695.2,453.0,16.38,0.7822,34622,0.0
B1_Naive,tomato,3,4,2024,0,0,1446.1,1053.0,41.17,0.0658,34525,0.0
B1_Naive,tomato,3,13,2024,0,0,1903.5,1467.2,86.36,-0.4858,34209,0.0
B1_Naive,tomato,3,26,2024,0,0,2325.8,1917.8,126.7,-1.4723,33906,0.0
B1_Naive,tomato,4,1,2025,0,0,496.8,306.8,13.34,0.8611,37355,0.0
B1_Naive,tomato,4,4,2025,0,0,919.8,649.3,28.36,0.5325,34857,0.0
B1_Naive,tomato,4,13,2025,0,0,1480.6,1111.9,42.27,-0.2398,27726,0.0
B1_Naive,tomato,4,26,2025,0,0,1916.1,1612.4,49.99,-1.2954,18125,0.0
B1_Naive,onion,1,1,2022,0,0,269.9,165.9,9.41,0.9284,13778,0.0
B1_Naive,onion,1,4,2022,0,0,501.6,340.6,20.63,0.7468,13725,0.0
B1_Naive,onion,1,13,2022,0,0,820.0,586.1,40.08,0.2855,13623,0.0
B1_Naive,onion,1,26,2022,0,0,891.8,647.4,42.95,0.2453,13587,0.0
B1_Naive,onion,2,1,2023,0,0,437.0,244.6,11.13,0.9033,14090,0.0
B1_Naive,onion,2,4,2023,0,0,855.5,552.3,25.22,0.6256,14012,0.0
B1_Naive,onion,2,13,2023,0,0,1417.0,1058.9,51.74,-0.0822,13831,0.0
B1_Naive,onion,2,26,2023,0,0,1610.7,1226.8,51.22,-0.5937,13632,0.0
B1_Naive,onion,3,1,2024,0,0,416.1,265.2,10.18,0.9183,14967,0.0
B1_Naive,onion,3,4,2024,0,0,778.9,565.9,21.19,0.7157,14910,0.0
B1_Naive,onion,3,13,2024,0,0,1401.8,1159.2,40.94,0.0315,14734,0.0
B1_Naive,onion,3,26,2024,0,0,2066.2,1779.7,81.58,-0.8688,14616,0.0
B1_Naive,onion,4,1,2025,0,0,260.0,153.8,7.81,0.9398,37398,0.0
B1_Naive,onion,4,4,2025,0,0,473.0,317.6,16.6,0.7822,35036,0.0
B1_Naive,onion,4,13,2025,0,0,786.8,553.9,33.45,0.2905,28190,0.0
B1_Naive,onion,4,26,2025,0,0,814.7,607.5,33.35,0.2217,18566,0.0
B1_Naive,potato,1,1,2022,0,0,134.7,84.2,6.32,0.9378,4217,0.0
B1_Naive,potato,1,4,2022,0,0,302.7,219.3,16.69,0.6958,4210,0.0
B1_Naive,potato,1,13,2022,0,0,650.5,524.7,46.89,-0.1376,4183,0.0
B1_Naive,potato,1,26,2022,0,0,888.8,774.9,74.76,-1.3796,4173,0.0
B1_Naive,potato,2,1,2023,0,0,99.4,60.3,5.88,0.9315,4249,0.0
B1_Naive,potato,2,4,2023,0,0,198.2,142.8,13.73,0.7172,4247,0.0
B1_Naive,potato,2,13,2023,0,0,339.8,256.3,21.92,-0.088,4247,0.0
B1_Naive,potato,2,26,2023,0,0,534.2,431.0,30.05,-0.2628,4250,0.0
B1_Naive,potato,3,1,2024,0,0,150.5,89.8,5.44,0.9459,4326,0.0
B1_Naive,potato,3,4,2024,0,0,365.0,254.8,15.31,0.6688,4320,0.0
B1_Naive,potato,3,13,2024,0,0,820.3,638.0,44.4,-0.5475,4308,0.0
B1_Naive,potato,3,26,2024,0,0,1057.8,958.7,66.94,-1.3656,4301,0.0
B1_Naive,potato,4,1,2025,0,0,117.5,63.8,5.64,0.8345,4118,0.0
B1_Naive,potato,4,4,2025,0,0,239.6,147.4,13.51,0.2492,3860,0.0
B1_Naive,potato,4,13,2025,0,0,279.1,198.1,16.58,-0.0813,3125,0.0
B1_Naive,potato,4,26,2025,0,0,303.5,224.6,18.68,-0.2873,2072,0.0
